PM2.5,PM10,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5*,PM10*,SO2*,NO2*,CO*,O3*,CO,O3,SO2,NO2
154,187,16.2,1010.8,2.6,0,2.5,151,190,79,45,NA,107.7426,NA,103.0302,64,45
139,164,15.6,1011.8,2.7,0,3.7,154,187,64,45,NA,103.0302,NA,116.9532,44,34
114,124,15.2,1012,1.3,0,3.1,139,164,44,34,NA,116.9532,NA,107.7426,31.1304,33.4639
104,78,14.3,1012,1.5,0,3.7,114,124,31.1304,33.4639,NA,107.7426,NA,85.68,22,42
83,66,13.6,1012.2,1.9,0,2.6,104,78,22,42,NA,85.68,NA,90.3924,19,36
86,92,13,1012.1,2.2,0,3.4,83,66,19,36,NA,90.3924,800,83,20,37
101,106,12,1012,2.7,0,2.5,86,92,20,37,800,83,800,78,25,40
114,115,11.2,1011.5,2.7,0,2.7,101,106,25,40,800,78,800,76,27,38
122,124,10.3,1011.5,2.6,0,1.5,114,115,27,38,800,76,800,47,NA,38
105,107,9.8,1011.8,2.9,0,1.3,122,124,NA,38,800,47,NA,NA,28,44
108,123,9.3,1011.7,3.3,0,1.4,105,107,28,44,NA,NA,600,36,23,NA
109,126,9.1,1012.2,3.7,0,1.9,108,123,23,NA,600,36,900,32,26,49
116,136,9.9,1012.2,4.1,0,1.6,109,126,26,49,900,32,900,24,29,52
124,141,10.5,1011.6,4.4,0,1,116,136,29,52,900,24,1000,31,35,44
133,151,11.9,1012.2,4.4,0,1.3,124,141,35,44,1000,31,1000,29,42,47
167,175,13.5,1011.6,5.4,0,2.3,133,151,42,47,1000,29,1100,34,42,49
181,186,14.1,1011.2,5.4,0,3.5,167,175,42,49,1100,34,1100,42,42,52
188,208,14.5,1011,6.1,0,3.1,181,186,42,52,1100,42,1200,56,42,54
205,223,14.3,1010.9,6.1,0,3.1,188,208,42,54,1200,56,1399,62,56,53
223,228,15.1,1010.1,6.1,0,3,205,223,56,53,1399,62,1700,62,80,54
241,252,15.2,1008.9,6.5,0,2.2,223,228,80,54,1700,62,2100,61,107,53
235,236,15.1,1008,6.4,0,3.1,241,252,107,53,2100,61,2000,61,90,54
237,237,15.2,1007.4,6.5,0,2.9,235,236,90,54,2000,61,1899,69,98,53
237,237,15.2,1007.8,6.2,0,1.7,237,237,98,53,1899,69,1300,78,98,53
171,162,14.9,1007.9,6.2,0,0.9,237,237,98,53,1300,78,1000,85,38,42
153,175,13.9,1008.4,6,0,0.1,171,162,38,42,1000,85,1200,74,41,47
172,190,13.2,1008.7,6.1,0,0.8,153,175,41,47,1200,74,1399,63,48,52
185,195,13.4,1008.3,6.3,0,1.1,172,190,48,52,1399,63,1399,48,49,62
187,201,14,1008.2,6.4,0,4.1,185,195,49,62,1399,48,1700,5,51,101
201,188,13,1008.2,5.9,0,2.7,187,201,51,101,1700,5,1399,31,45,78
150,123,12,1008,5.8,0,1.8,201,188,45,78,1399,31,1000,60,29,44
138,99,11.3,1008,6,0,2.6,150,123,29,44,1000,60,900,64,27,35
138,107,10.7,1007.7,6.1,0,2.9,138,99,27,35,900,64,900,58,25,34
134,97,10.4,1007,6.5,0,2,138,107,25,34,900,58,900,55,23,33
140,96,10,1007,6.7,0,2,134,97,23,33,900,55,900,52,20,35
148,104,9.7,1007,7,0,1.6,140,96,20,35,900,52,1000,42,20,36
169,123,9.8,1007.1,7.2,0,1.6,148,104,20,36,1000,42,1100,34,24,37
179,142,10,1007.6,7.2,0,1.9,169,123,24,37,1100,34,1100,24,24,41
164,166,10.5,1007.7,7.4,0,1.5,179,142,24,41,1100,24,1200,12,25,51
174,174,11.6,1007.4,7.9,0,1.4,164,166,25,51,1200,12,1200,14,24,47
203,178,12.6,1007.1,8.3,0,1.1,174,174,24,47,1200,14,1300,17,25,47
186,204,13.8,1006.6,8.2,0,1.5,203,178,25,47,1300,17,1399,22,29,52
200,228,13.3,1005.7,8.1,0,2.1,186,204,29,52,1399,22,1399,30,33,56
221,249,15.4,1005.9,8.6,0,2.9,200,228,33,56,1399,30,1600,28,36,67
237,255,15.7,1004.3,8,0,3.7,221,249,36,67,1600,28,1600,40,46,60
234,245,16.2,1005.6,8.7,0,2.9,237,255,46,60,1600,40,1600,46,41,68
263,276,15.3,1007,7.6,0,2.6,234,245,41,68,1600,46,1700,50,42,74
277,310,15.3,1007.1,7.1,0,1.9,263,276,42,74,1700,50,1700,48,39,85
261,263,14.1,1007.9,6.4,0,0,277,310,39,85,1700,48,1600,35,32,86
237,199,12,1008.6,6.7,0,0.2,261,263,32,86,1600,35,1500,38,27,77
204,209,11.3,1009.1,6.8,0,0.9,237,199,27,77,1500,38,1700,11,23,99
220,188,9.5,1009.4,7.1,0,0,204,209,23,99,1700,11,1899,2,20,108
191,202,8.5,1009.5,7,0,0.2,220,188,20,108,1899,2,2399,2,17,104
229,232,8,1009.4,6.8,0,0.6,191,202,17,104,2399,2,2799,3,16,104
227,252,7.5,1008.9,6.6,0,1.1,229,232,16,104,2799,3,2899,2,15,101
235,263,7.7,1009,6.8,0,0.8,227,252,15,101,2899,2,3200,2,16,102
216,248,7.9,1008.8,6.8,0,0.9,235,263,16,102,3200,2,3200,2,16,99
185,187,8.2,1008.5,7.1,0,1.6,216,248,16,99,3200,2,2000,2,16,83
153,91,8.9,1008.5,6.9,0,1.4,185,187,16,83,2000,2,1200,2,13,64
132,64,7.6,1008.2,6.1,0,0.8,153,91,13,64,1200,2,1100,3,13,53
116,128,10.1,1008.2,7,0,1.6,132,64,13,53,1100,3,1200,3,12,58
151,176,12.8,1007.7,7.2,0,0.9,116,128,12,58,1200,3,1600,3,13,65
168,128,15.1,1007,6.4,0,0.9,151,176,13,65,1600,3,1500,9,16,64
112,89,17.7,1006.6,6.5,0,0.4,168,128,16,64,1500,9,1200,23,17,54
97,72,20.1,1005.9,3.7,0,1.5,112,89,17,54,1200,23,1100,40,17,54
78,82,21.4,1005.1,1.1,0,2.2,97,72,17,54,1100,40,1200,55,16,65
98,39,23.7,1003.9,0.1,0,4.5,78,82,16,65,1200,55,1000,88,13,65
98,54,24.1,1003.5,-8.2,0,7.9,98,39,13,65,1000,88,800,102,12,54
60,9,24.1,1002.9,-8.2,0,6.6,98,54,12,54,800,102,500,115,7,26
37,137,23.6,1002.8,-8.6,0,6.5,60,9,7,26,500,115,300,129,3,8
28,92,21.5,1003,-5.4,0,2.7,37,137,3,8,300,129,300,127,3,8
22,99,19.8,1003.8,-3.2,0,3.5,28,92,3,8,300,127,300,114,3,12
21,102,18.9,1004.6,-2.7,0,2.1,22,99,3,12,300,114,400,97,3,19
17,42,18.8,1006.7,-4.7,0,3,21,102,3,19,400,97,400,82,3,27
22,25,16.8,1008.8,-3.4,0,6.5,17,42,3,27,400,82,500,64,3,41
23,190,15.4,1009.6,-4.6,0,5.3,22,25,3,41,500,64,300,94,3,15
12,20,14.4,1009.4,-4.9,0,2.7,23,190,3,15,300,94,300,93,3,15
4,10,13.8,1009.7,-4.4,0,1.1,12,20,3,15,300,93,400,79,3,25
5,9,13.3,1009.4,-4.4,0,1.3,4,10,3,25,400,79,500,56,4,41
5,10,12.9,1009.1,-4.3,0,3.2,5,9,4,41,500,56,500,42,4,48
13,17,12.3,1009,-3.9,0,2.1,5,10,4,48,500,42,500,38,5,49
14,23,12.6,1008.9,-4.5,0,2,13,17,5,49,500,38,500,40,5,49
3,6,11.2,1009.3,-4.9,0,0.7,14,23,5,49,500,40,400,68,11,27
18,21,10.3,1009.7,-4.9,0,1.5,3,6,11,27,400,68,500,46,11,43
16,17,13.9,1010.3,-6.4,0,2.2,18,21,11,43,500,46,500,39,9,49
19,25,15.1,1010.6,-7.1,0,4.7,16,17,9,49,500,39,600,50,12,43
8,11,16.4,1010.5,-7.3,0,5.2,19,25,12,43,600,50,500,68,7,32
14,14,17.8,1010.5,-6.2,0,5,8,11,7,32,500,68,400,87,6,21
11,17,19,1010.1,-8.3,0,6.9,14,14,6,21,400,87,400,97,6,15
9,46,20,1009.7,-8.4,0,5.2,11,17,6,15,400,97,300,105,4,11
9,52,20.2,1009,-9.1,0,5.3,9,46,4,11,300,105,300,114,3,8
27,60,21.4,1008.3,-9.2,0,6,9,52,3,8,300,114,300,113,3,8
20,33,21.6,1007.4,-10.2,0,3.7,27,60,3,8,300,113,300,114,3,8
8,26,22.2,1006.8,-9.7,0,4.9,20,33,3,8,300,114,300,115,3,7
9,22,22.2,1006.8,-10.9,0,2.2,8,26,3,7,300,115,300,114,3,9
8,23,21.7,1006.8,-11.3,0,3.5,9,22,3,9,300,114,300,112,3,11
10,22,20.1,1007.5,-11.3,0,0.7,8,23,3,11,300,112,300,108,3,15
7,32,18.1,1008.3,-10.8,0,1.2,10,22,3,15,300,108,400,97,3,22
18,45,14.3,1009.3,-6.6,0,0.1,7,32,3,22,400,97,600,63,3,47
20,42,11.8,1009.6,-4.8,0,0,18,45,3,47,600,63,600,50,3,55
25,67,11,1009.7,-4.7,0,0.1,20,42,3,55,600,50,900,17,3,82
38,78,9.5,1009.8,-3.1,0,0.2,25,67,3,82,900,17,1399,9,7,90
76,118,9.6,1009.5,-3,0,0.8,38,78,7,90,1399,9,1899,4,9,95
43,85,9.2,1009.1,-2.1,0,1.2,76,118,9,95,1899,4,1300,2,8,95
47,145,7.9,1008.6,0.4,0,0.6,43,85,8,95,1300,2,1600,2,NA,84
52,102,8,1008.5,-0.5,0,0.6,47,145,NA,84,1600,2,NA,NA,10,91
47,142,7.4,1008.5,0.1,0,1.1,52,102,10,91,NA,NA,1300,3,10,NA
46,130,7.5,1008.7,-1,0,0.1,47,142,10,NA,1300,3,1700,2,11,80
54,153,11.1,1008.5,-0.7,0,1.1,46,130,11,80,1700,2,1800,2,13,83
72,180,14.2,1008.4,-2.7,0,1.2,54,153,13,83,1800,2,2100,2,16,94
63,126,17.2,1007.6,-2,0,0.6,72,180,16,94,2100,2,1399,3,14,92
74,144,18.8,1007.7,-2.2,0,1.8,63,126,14,92,1399,3,1300,7,17,98
88,174,21.2,1006.9,2,0,0.6,74,144,17,98,1300,7,1300,13,27,116
106,207,21.6,1006,0.7,0,1.8,88,174,27,116,1300,13,1300,27,38,120
97,171,22.7,1005.2,1.6,0,2.6,106,207,38,120,1300,27,800,110,72,50
95,121,23.7,1004.2,1.3,0,3.2,97,171,72,50,800,110,800,141,54,33
88,132,23.7,1003.4,0.7,0,3.2,95,121,54,33,800,141,700,165,43,26
99,127,23.6,1002.7,1.2,0,3,88,132,43,26,700,165,800,168,42,27
97,137,23.3,1002.2,1.6,0,3,99,127,42,27,800,168,700,154,41,33
101,137,22.4,1002.2,1.9,0,5.8,97,137,41,33,700,154,700,132,47,48
99,148,21,1002.8,1.8,0,4.6,101,137,47,48,700,132,800,121,59,50
103,154,19.6,1003.3,-0.4,0,3.3,99,148,59,50,800,121,800,116,61,54
84,92,18.6,1004.4,-4.2,0,1.5,103,154,61,54,800,116,700,124,35,43
57,60,17.7,1004.9,-4.3,0,2.8,84,92,35,43,700,124,800,122,26,38
40,40,17.2,1005.2,-3.6,0,3,57,60,26,38,800,122,500,103,18,36
43,67,16.4,1005.5,-2.2,0,2.1,40,40,18,36,500,103,500,88,23,42
51,70,15.9,1005.8,-0.8,0,1.4,43,67,23,42,500,88,500,82,38,46
52,72,15.3,1005.6,-1.3,0,1,51,70,38,46,500,82,800,63,43,58
58,97,12.7,1005.5,0.4,0,0.4,52,72,43,58,800,63,800,45,51,70
66,81,11.2,1005.5,0.6,0,0.4,58,97,51,70,800,45,1100,32,67,79
81,110,10,1005.6,1.9,0,0,66,81,67,79,1100,32,1899,16,82,97
87,134,9.4,1006.5,2.3,0,0,81,110,82,97,1899,16,2000,3,77,108
80,161,13,1007.1,2.2,0,1.7,87,134,77,108,2000,3,1899,2,67,110
74,146,16.7,1007.6,-1.4,0,0.7,80,161,67,110,1899,2,1300,6,44,103
67,99,18.3,1007.9,-4.4,0,1.8,74,146,44,103,1300,6,1100,15,35,94
63,83,19.8,1008.3,-2,0,2.5,67,99,35,94,1100,15,1200,43,40,74
48,111,20.6,1008,-0.1,0,1.4,63,83,40,74,1200,43,1100,83,38,47
45,109,21.5,1007.2,0.6,0,3.5,48,111,38,47,1100,83,1000,104,37,32
48,102,22.6,1006.6,2.1,0,3.9,45,109,37,32,1000,104,1100,116,36,28
55,140,23.4,1006,1.7,0,4.6,48,102,36,28,1100,116,1200,128,37,27
67,153,23.6,1005.3,1.8,0,5,55,140,37,27,1200,128,1399,135,42,30
78,149,23.6,1005,1.8,0,2.8,67,153,42,30,1399,135,1300,150,45,33
85,162,22.9,1005.3,2.9,0,2.1,78,149,45,33,1300,150,1100,174,39,33
79,175,21.8,1005.8,3,0,3,85,162,39,33,1100,174,900,188,27,25
82,184,20.5,1006.5,4.1,0,1.8,79,175,27,25,900,188,1000,186,26,34
92,166,19.6,1007.5,4.9,0,2.8,82,184,26,34,1000,186,800,188,26,36
104,164,18.6,1008.6,3.2,0,1.8,92,166,26,36,800,188,900,181,29,41
77,77,17.1,1008.3,4.1,0,1.6,104,164,29,41,900,181,1000,153,27,37
82,112,16.1,1008.7,3.5,0,1.2,77,77,27,37,1000,153,1200,149,31,41
94,132,16,1008.8,3.1,0,2.3,82,112,31,41,1200,149,1300,118,41,60
103,140,15,1007.9,2.8,0,1.2,94,132,41,60,1300,118,1800,101,69,62
85,110,14.5,1007.6,3,0,1.6,103,140,69,62,1800,101,2000,107,65,55
86,122,13.9,1007.1,3.1,0,0.9,85,110,65,55,2000,107,2200,85,63,60
79,113,12.4,1006.4,3.9,0,0.6,86,122,63,60,2200,85,2100,92,63,53
76,106,12.6,1006.3,3.5,0,1.7,79,113,63,53,2100,92,2100,76,65,59
84,121,12.7,1006.1,3.4,0,1.9,76,106,65,59,2100,76,2500,64,82,64
83,121,13.7,1006.1,3.7,0,1.9,84,121,82,64,2500,64,2399,67,74,58
80,121,14.5,1006.4,3.6,0,1.2,83,121,74,58,2399,67,2299,69,69,60
71,103,15.2,1006.6,4,0,2.2,80,121,69,60,2299,69,2100,74,76,63
81,127,15,1006,5.5,0,3.1,71,103,76,63,2100,74,2399,81,82,63
93,156,15.9,1006.3,5.8,0,2.7,81,127,82,63,2399,81,2500,87,88,65
77,110,16.4,1005.4,5.9,0,2.7,93,156,88,65,2500,87,1800,116,65,47
80,117,17,1005,6.8,0,1.4,77,110,65,47,1800,116,2000,129,61,44
87,127,17.3,1004.5,6.8,0,1.4,80,117,61,44,2000,129,1899,125,52,50
88,135,18,1003.2,6.5,0,1.1,87,127,52,50,1899,125,1800,119,51,59
86,116,19.5,1003.7,6.2,0,1.5,88,135,51,59,1800,119,1600,127,46,53
100,128,20.5,1003.7,6.4,0,1.2,86,116,46,53,1600,127,1800,103,50,73
100,143,19.7,1004.4,6.4,0,0.9,100,128,50,73,1800,103,1899,108,48,74
99,149,19.7,1005.7,-3.9,0,3.9,100,143,48,74,1899,108,1899,111,44,78
62,47,19.2,1007,-5.7,0,2.5,99,149,44,78,1899,111,1399,90,27,74
31,47,18.3,1008,-5.8,0,1.2,62,47,27,74,1399,90,500,84,3,35
44,67,15.1,1008.6,-4.8,0,2.2,31,47,3,35,500,84,800,50,4,59
37,59,16.4,1009.2,-4.8,0,1.4,44,67,4,59,800,50,700,53,4,56
23,51,14.7,1009.9,-6.8,0,1.1,37,59,4,56,700,53,500,64,3,43
20,44,15.1,1010.3,-6.5,0,0.9,23,51,3,43,500,64,500,52,3,52
17,69,11.7,1010.4,-4.5,0,0.4,20,44,3,52,500,52,600,18,3,77
10,11,10,1010.2,-3.7,0,1.1,17,69,3,77,600,18,500,29,3,71
12,12,15.1,1009.5,-8.4,0,0.8,10,11,3,71,500,29,400,77,3,36
3,6,11.5,1009.1,-6.9,0,0.6,12,12,3,36,400,77,400,88,5,31
15,20,16,1009.6,-8.4,0,2.4,3,6,5,31,400,88,NA,80.325,6,30
12,40,19.1,1009.8,-9.1,0,2.1,15,20,6,30,NA,80.325,NA,60.6186,6,42
17,33,20.9,1010,-8.6,0,3.8,12,40,6,42,NA,60.6186,NA,107.5284,6,15
18,58,22.3,1010,-7.5,0,2.7,17,33,6,15,NA,107.5284,NA,106.4574,7,15
27,103,23.6,1009.8,-7.5,0,6.5,18,58,7,15,NA,106.4574,NA,113.3118,6.5688,11.7021
28,83,24.8,1008.9,-7.7,0,5.4,27,103,6.5688,11.7021,NA,113.3118,NA,117.5958,4,11
25,74,25.7,1008.2,-7,0,5.7,28,83,4,11,NA,117.5958,NA,120.5946,3.4272,10.8809
17,84,26.8,1006.9,-7.4,0,6.2,25,74,3.4272,10.8809,NA,120.5946,300,124,3,11
25,81,27.7,1005.7,-8.1,0,6.7,17,84,3,11,300,124,300,127,4,10
17,68,28.5,1004.8,-7.5,0,5.1,25,81,4,10,300,127,200,131,3,9
13,63,28.9,1004.3,-7.2,0,3.2,17,68,3,9,200,131,200,129,3,10
18,45,28.6,1004.2,-8.9,0,3.2,13,63,3,10,200,129,200,128,3,9
21,53,27.4,1004.5,-8.3,0,3.7,18,45,3,9,200,128,200,125,3,9
25,72,25.8,1005.2,-9.5,0,1.8,21,53,3,9,200,125,300,116,3,14
22,71,24.1,1006.3,-8.2,0,1.9,25,72,3,14,300,116,400,103,3,23
33,83,21.1,1007,-6.6,0,0.2,22,71,3,23,400,103,500,84,3,36
38,98,17,1007.4,-4.3,0,1,33,83,3,36,500,84,600,47,3,64
32,116,21.7,1007.7,-9,0,2.2,38,98,3,64,600,47,1000,19,4,85
32,116,20.4,1008.6,-9,0,1.4,32,116,4,85,1000,19,NA,4.284,4,85
111,180,20.6,1009.5,-8.8,0,2,32,116,4,85,NA,4.284,1300,5,22,118
42,180,19.2,1010.5,-9.9,0,1.5,111,180,22,118,1300,5,600,47,4,59
21,34,16.7,1010.6,-10.1,0,0.9,42,180,4,59,600,47,300,52,4,34
15,34,12.7,1010.6,-6.3,0,1.2,21,34,4,34,300,52,NA,NA,4,28
11,24,10.8,1010.5,-5.3,0,0.8,15,34,4,28,NA,NA,200,75,4,28
10,33,14.3,1011,-8.4,0,1.2,11,24,4,28,200,75,300,70,3,34
15,46,17.2,1011.4,-6.7,0,0.5,10,33,3,34,300,70,300,59,4,42
14,37,19.4,1012.1,-7.1,0,1.8,15,46,4,42,300,59,300,60,4,44
12,55,20.4,1011.8,-9,0,4.1,14,37,4,44,300,60,300,68,4,37
13,32,21.8,1011.4,-7.9,0,2.8,12,55,4,37,300,68,300,77,6,32
16,30,22.8,1011.1,-7.1,0,2,13,32,6,32,300,77,300,92,5,26
16,40,24.2,1010.4,-8.2,0,2.4,16,30,5,26,300,92,300,100,5,23
17,31,25.5,1009.6,-8.4,0,3.1,16,40,5,23,300,100,300,113,5,18
18,21,26.7,1008.5,-7.5,0,1.2,17,31,5,18,300,113,300,123,4,15
26,30,28.5,1007.6,-7.5,0,1.9,18,21,4,15,300,123,300,127,5,19
22,36,29.4,1007,-12,0,3.5,26,30,5,19,300,127,400,130,6,23
16,16,29.2,1006.8,-12.1,0,3.9,22,36,6,23,400,130,400,134,5,21
31,16,26.7,1006.9,-8.8,0,3.3,16,16,5,21,400,134,200,134,3,11
19,76,23.9,1008,-7.3,0,1.1,31,16,3,11,200,134,300,125,3,15
28,144,18.7,1009,-5.4,0,0.4,19,76,3,15,300,125,500,101,6,46
38,51,17.8,1010,-4.2,0,1.9,28,144,6,46,500,101,600,76,7,69
35,54,17.1,1010.8,-6.7,0,1.9,38,51,7,69,600,76,600,46,5,73
22,55,16.6,1011.9,-3,0,5.3,35,54,5,73,600,46,500,62,5,52
27,152,14.8,1013,-3.1,0,2.6,22,55,5,52,500,62,500,60,9,53
38,237,13.3,1013.9,-1.1,0,2,27,152,9,53,500,60,600,70,16,48
27,105,10.9,1014.3,0,0,0,38,237,16,48,600,70,500,79,12,37
26,84,9.9,1014.4,1.8,0,0.7,27,105,12,37,500,79,600,67,13,41
23,77,8.7,1014.1,1.4,0,0,26,84,13,41,600,67,600,62,12,43
23,57,7.9,1014.1,1.5,0,0,23,77,12,43,600,62,600,56,19,46
26,58,8.6,1014.2,1.7,0,0,23,57,19,46,600,56,700,49,19,43
29,71,14.6,1014.4,1.8,0,0.8,26,58,19,43,700,49,800,41,19,49
34,64,16.5,1014.3,1.4,0,0.9,29,71,19,49,800,41,800,44,21,53
45,77,18,1013.9,1,0,1.5,34,64,21,53,800,44,700,55,20,50
38,68,19.9,1013.4,0.3,0,2.1,45,77,20,50,700,55,700,71,15,48
40,56,20.7,1012.6,-0.6,0,1.6,38,68,15,48,700,71,700,90,13,42
40,53,22.1,1011.3,-1.9,0,1.7,40,56,13,42,700,90,600,100,12,36
38,44,23.1,1010.1,-2.5,0,1.4,40,53,12,36,600,100,600,108,11,34
44,55,24,1009.2,-2.6,0,2.1,38,44,11,34,600,108,600,122,10,29
42,58,24,1008.2,-1.8,0,2,44,55,10,29,600,122,500,139,10,24
44,59,24.3,1007.7,-1.6,0,2.8,42,58,10,24,500,139,500,149,9,20
40,82,23.3,1007.5,-0.3,0,3,44,59,9,20,500,149,500,160,10,19
50,114,22.3,1007.4,0.7,0,3,40,82,10,19,500,160,600,160,10,19
54,113,20.9,1008,0.1,0,2.6,50,114,10,19,600,160,700,156,12,22
51,89,19.7,1008.4,-1.5,0,1.5,54,113,12,22,700,156,600,149,12,24
50,84,18.4,1008.7,0.5,0,1.7,51,89,12,24,600,149,700,128,14,31
54,143,17.8,1009,1.3,0,1.6,50,84,14,31,700,128,800,100,21,50
66,149,18,1009.3,2.3,0,2.4,54,143,21,50,800,100,800,94,30,53
81,172,17.1,1009.3,0.7,0,3.4,66,149,30,53,800,94,900,79,29,63
81,172,16.9,1009.6,-0.4,0,2.4,81,172,29,63,900,79,900,76,29,63
42,64,16.6,1009.2,-0.6,0,1.2,81,172,29,63,900,76,800,78,20,32
44,57,16.3,1009.1,-0.9,0,1.4,42,64,20,32,800,78,800,68,21,36
45,59,15.2,1009.7,-0.6,0,1.2,44,57,21,36,800,68,700,68,20,38
49,88,14.7,1009.2,1.6,0,1.3,45,59,20,38,700,68,800,49,22,48
55,87,14.1,1009.8,3.8,0,2.2,49,88,22,48,800,49,900,36,27,60
77,151,14.3,1010.3,4.6,0,0.8,55,87,27,60,900,36,1399,24,37,77
81,143,16.1,1010.7,3.8,0,0.7,77,151,37,77,1399,24,1500,24,39,77
87,134,17.6,1010.6,3.8,0,1.4,81,143,39,77,1500,24,1500,28,38,76
89,113,20.1,1010.1,2.4,0,1.3,87,134,38,76,1500,28,1300,48,43,70
94,114,21.4,1009.2,2.1,0,3.3,89,113,43,70,1300,48,1300,63,41,73
65,114,21.7,1008.5,2.9,0,2.2,94,114,41,73,1300,63,700,134,25,28
67,99,22.8,1007.7,3.8,0,2.1,65,114,25,28,700,134,800,145,30,31
92,123,23.1,1006.8,3.1,0,1.5,67,99,30,31,800,145,1000,158,36,33
99,104,23.6,1005.7,3.5,0,1.2,92,123,36,33,1000,158,1200,169,36,31
103,117,23.7,1005,3.6,0,3.7,99,104,36,31,1200,169,1100,172,38,31
109,166,23.5,1004.7,3.9,0,2.6,103,117,38,31,1100,172,1200,166,49,38
110,160,22,1004.9,4.1,0,5.1,109,166,49,38,1200,166,1200,158,68,45
101,161,20.9,1005.2,3.1,0,4.3,110,160,68,45,1200,158,1200,141,69,52
95,178,19.8,1006.4,3,0,3.8,101,161,69,52,1200,141,1200,99,68,74
88,178,18.6,1007.4,4.4,0,3.6,95,178,68,74,1200,99,1200,86,60,76
78,155,17.6,1008.4,5.2,0,2.4,88,178,60,76,1200,86,1100,66,58,80
88,177,17.2,1008.8,3.8,0,3.1,78,155,58,80,1100,66,1300,50,52,84
86,143,16.6,1009.7,4.6,0,3.7,88,177,52,84,1300,50,1200,50,45,78
68,143,16.1,1011.1,2.1,0,5.1,86,143,45,78,1200,50,700,79,35,50
58,68,14.5,1012.3,5.6,0,4.8,68,143,35,50,700,79,1000,79,42,41
81,156,12.6,1012.9,7.9,0,2.4,58,68,42,41,1000,79,1899,84,70,42
59,109,12.6,1012.6,7.7,0.1,1.3,81,156,70,42,1899,84,1200,106,30,24
44,62,13,1013.2,7,0,1.9,59,109,30,24,1200,106,700,118,15,17
42,62,13.3,1013.6,6.4,0,0.8,44,62,15,17,700,118,700,110,13,22
48,18,14,1013.9,6.4,0,1.1,42,62,13,22,700,110,700,109,14,23
35,37,16.3,1014.3,5.8,0,1.3,48,18,14,23,700,109,700,100,13,33
37,39,17.4,1014.6,6,0,1.3,35,37,13,33,700,100,700,105,14,33
45,39,18.5,1014.6,5.7,0,0.9,37,39,14,33,700,105,700,115,15,30
49,91,19.7,1014.5,6.1,0,1.5,45,39,15,30,700,115,800,113,15,33
48,51,19.9,1013.9,5.5,0,2,49,91,15,33,800,113,800,122,16,32
54,62,20.8,1013.3,5.6,0,1.3,48,51,16,32,800,122,800,141,16,24
56,60,21.5,1012.8,4.5,0,0.9,54,62,16,24,800,141,900,143,16,31
72,60,22.5,1012,5.4,0,0.9,56,60,16,31,900,143,900,158,16,31
62,63,22.8,1011.6,4.3,0,2.4,72,60,16,31,900,158,900,171,15,28
59,61,22.4,1011.5,3.5,0,3.9,62,63,15,28,900,171,900,181,14,27
63,61,21.7,1011.5,3.4,0,2.5,59,61,14,27,900,181,800,183,16,24
53,61,20.5,1011.8,4.1,0,2,63,61,16,24,800,183,800,178,16,24
56,105,19.7,1012.3,5.3,0,2.8,53,61,16,24,800,178,800,167,14,27
73,102,19.2,1012.7,5.6,0,1.8,56,105,14,27,800,167,900,162,16,28
73,77,18.8,1012.7,6.6,0,3,73,102,16,28,900,162,900,142,16,36
76,130,17.7,1012.9,6.8,0,1.9,73,77,16,36,900,142,1000,130,18,42
95,135,17.3,1013.2,5.6,0,2.3,76,130,18,42,1000,130,1200,118,22,51
80,136,16.7,1013.1,5.3,0,3.2,95,135,22,51,1200,118,1000,121,20,38
73,83,16.4,1013,5.6,0,2.6,80,136,20,38,1000,121,800,116,18,32
74,84,15.9,1013.2,6,0,2.1,73,83,18,32,800,116,800,78,18,30
77,88,14.9,1013.2,6.5,0,1.4,74,84,18,30,800,78,NA,NA,21,32
86,95,13.9,1013.2,6.3,0,1.8,77,88,21,32,NA,NA,500,82,28,32
92,102,14,1014,7.1,0,1.1,86,95,28,32,500,82,700,74,29,36
100,120,15.3,1014.1,7.8,0,0.7,92,102,29,36,700,74,800,60,30,41
112,134,16.7,1014.3,8.4,0,2.9,100,120,30,41,800,60,900,56,33,45
127,156,18.2,1014.7,8.7,0,1.8,112,134,33,45,900,56,900,59,40,47
139,181,20.4,1014.2,9,0,2.5,127,156,40,47,900,59,1000,74,45,44
147,174,22,1013.6,7.8,0,3.2,139,181,45,44,1000,74,1000,101,44,40
124,174,23.1,1013,5.9,0,3.8,147,174,44,40,1000,101,900,139,34,29
75,136,23.4,1012.2,4.8,0,4.1,124,174,34,29,900,139,700,161,22,17
65,80,24.3,1011.5,3.6,0,3.3,75,136,22,17,700,161,700,168,16,17
74,81,25,1010.8,1.8,0,2.3,65,80,16,17,700,168,600,170,14,16
57,61,25.2,1010.4,2,0,1.7,74,81,14,16,600,170,600,174,17,15
55,60,25,1010.6,1.1,0,3.1,57,61,17,15,600,174,500,178,12,16
66,92,23.8,1010.6,2,0,3.7,55,60,12,16,500,178,500,174,10,18
64,123,22.6,1010.8,2.6,0,1.6,66,92,10,18,500,174,500,167,12,19
69,114,21.8,1011.3,3.4,0,1.7,64,123,12,19,500,167,600,152,17,28
70,112,21.3,1012.1,4.4,0,1.8,69,114,17,28,600,152,700,139,19,34
73,113,20.6,1012.2,4.6,0,0.9,70,112,19,34,700,139,700,125,24,42
78,118,17.2,1012.2,6.7,0,1.3,73,113,24,42,700,125,800,95,22,59
